ingredients	primary cooking method	cooking methods	cooking tools
Team 2	2.9317107493825585	3	2.601731601731602	2.138888888888889
Team 2	2.9317107493825585	3	2.7835497835497836	2.3055555555555554
Team 2	2.9317107493825585	4	2.7835497835497836	2.3055555555555554
Team 2	2.9317107493825585	4	2.7835497835497836	2.3055555555555554
Team 2	2.9317107493825585	4	2.7835497835497836	2.3055555555555554
Team 2	3.3411558313381597	4	2.7835497835497836	2.3055555555555554
Team 2	3.4691019592842878	4	2.7835497835497836	2.3055555555555554
